VS_ID,VS_NAME,VS_ADDRESS1,VS_ADDRESS2,CITY,PHONE,COVID-19,RSV,TDAP,PNEUMOCOCCAL,ANTIVIRAL,LATITUDE,LONGITUDE
AB00003431,PANORAMA HILLS PHARMACY,28 PANATELLA BLVD NW,,CALGARY,403-460-6707,COVID-19,,TDAP,PNEUMOCOCCAL,NO,51.16547718,-114.0712342
AB00003102,SHOPPERS DRUG MART #2403,101-600 SADDLETOWNE CIR NE,,CALGARY,403-568-7143,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.12603735,-113.945173
AB00100198,FORME PHARMACY BRIDGELAND,100-736 A AVE NE,,CALGARY,403-930-7905,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.06553698,-114.0475701
AB00000734,LONDON DRUGS #33,3630 BRENTWOOD RD NW,,CALGARY,403-289-4512,COVID-19,RSV,,,NO,51.08504957,-114.1236415
AB00003878,DRUG + BEAN (KILLARNEY),3114 17 AVE SW,,CALGARY,403-764-7078,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.0394219,-114.1320682
AB00002677,SAFEWAY PHARMACY #8827,2525 WOODVIEW DR SW,,CALGARY,403-251-0777,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.94050375,-114.1194262
AB00100215,PHARMASAVE CAPITAL HILL,1438 20 AVE NW,,CALGARY,587-318-7073,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.07083299,-114.0940711
AB00003529,SUPER M DRUGS (2018),216 CENTRE ST SE,,CALGARY,403-233-7788,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.05078516,-114.0624063
AB00003849,SHOPPERS DRUG MART #2335,126-40 SUNPARK PLAZA SE,,CALGARY,403-256-3700,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,50.90194494,-114.0568082
AB00100348,QUEENSLAND PHARMACY,418-950 QUEENSLAND DR SE,,CALGARY,403-800-9387,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.9335468,-114.0171154
AB00003872,MEADOWS MILE PHARMACY,110-8500 BLACKFOOT TR SE,,CALGARY,403-253-5700,COVID-19,,TDAP,PNEUMOCOCCAL,NO,50.97661519,-114.046636
AB00002904,SHOPPERS DRUG MART #353,1000-150 MILLRISE BLVD SW,,CALGARY,403-256-4630,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,50.91393121,-114.0714093
AB00002686,SAFEWAY PHARMACY #8847,70 SHAWVILLE BLVD SW,,CALGARY,403-256-1202,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,50.90583617,-114.0642826
AB00100017,DEER VALLEY PHARMACY,101-83 DEERPOINT RD SE,,CALGARY,587-554-5588,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.9268828,-114.0289032
AB00003304,SOBEYS PHARMACY #5386,1200-7 MAHOGANY PLAZA SE,,CALGARY,403-726-0063,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.89798895,-113.9414996
AB00002917,MELL PHARMACY,771 NORTH MOUNT DR NW,,CALGARY,403-454-5244,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.08260367,-114.0959373
AB00000080,CALGARY CO-OP PHARMACY #4,4122 BRENTWOOD RD NW,,CALGARY,403-299-4308,COVID-19,,,,NO,51.08844285,-114.1308792
AB00004178,MILLRISE PHARMACY,9-15 MILLRISE BLVD SW,,CALGARY,587-329-5858,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.9205757,-114.076119
AB00002940,SAGE PLUS CLINICAL PHARMACY,860 13 ST SE,,CALGARY,587-480-0178,COVID-19,,,,NO,51.04042942,-114.0309414
AB00100077,UNIVERSAL HEALTH PHARMACY #11,80-10233 ELBOW DR SW,,CALGARY,403-255-2354,COVID-19,,,,NO,50.96193461,-114.08581
AB00002737,SAFEWAY PHARMACY #8918,5607 4 ST NW,,CALGARY,403-730-5080,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,51.10196272,-114.0719359
AB00004211,SHOPPERS DRUG MART #325,198-8060 SILVER SPRINGS BLVD,,CALGARY,403-288-1126,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.11666085,-114.2042534
AB00003929,KINSOL PHARMACY,803 1 AVE NE,,CALGARY,587-351-8923,COVID-19,,,,NO,51.05320485,-114.0452994
AB00004405,MERIT PHARMACY,11458 BRAESIDE DR SW,,CALGARY,403-255-0049,,RSV,TDAP,PNEUMOCOCCAL,YES,50.95408079,-114.1166915
AB00004130,NULIFE PHARMACY,114-10325 BONAVENTURE DR SE,,CALGARY,403-271-8160,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.96051322,-114.0697877
AB00100156,UNIVERSAL HEALTH RANCHLANDS PHARMACY #4,137-1829 RANCHLANDS BLVD NW,,CALGARY,403-452-5554,COVID-19,,,,NO,51.12326105,-114.1974946
AB00004032,MEDICINE SHOPPE PHARMACY 181,11-555 HAWKWOOD BLVD NW,,CALGARY,403-547-1600,COVID-19,RSV,,,NO,51.13001524,-114.1771318
AB00003911,PHARMASAVE WHITEHORN #3018,BAY 17-4525 52 ST NE,,CALGARY,403-888-1551,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.09201309,-113.9586006
AB00002689,SAFEWAY PHARMACY #8852,200 STEWART GREEN SW,,CALGARY,403-246-0336,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.01460372,-114.1670197
AB00001709,SOBEYS PHARMACY #1129,125-8888 COUNTRY HILLS BLVD NW,,CALGARY,403-239-7455,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.15178225,-114.2131886
AB00003336,SOUTH TRAIL PHARMACY,78-4307 130 AVE SE,,CALGARY,403-475-8612,COVID-19,,TDAP,PNEUMOCOCCAL,NO,50.93059254,-113.9730717
AB00003110,CALGARY CO-OP PHARMACY #26,700-100 AUBURN MEADOWS DR SE,,CALGARY,403-225-9130,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.89543807,-113.9443726
AB00000124,CALGARY CO-OP PHARMACY #5,3330 17 AVE SE,,CALGARY,403-299-4467,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,51.03886471,-113.9881606
AB00003819,REVOLUTION REMEDY'SRX,5959 SIGNAL HILL CENTRE SW,,CALGARY,587-319-0501,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.01693857,-114.174547
AB00002838,RIVERSIDE REMEDY'S RX DISPENSARY,10-630 1 AVE NE,,CALGARY,403-457-9033,COVID-19,,,,NO,51.05368624,-114.0498296
AB00003970,COSTCO PHARMACY #56,2853 32 ST NE,,CALGARY,403-216-6696,COVID-19,RSV,,,NO,51.07932333,-113.9907238
AB00002684,SAFEWAY PHARMACY #8844,100-5005 DALHOUSIE DR NW,,CALGARY,403-202-0444,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.10549355,-114.1612934
AB00003669,MEDIMAX PHARMACY,240-520 3 AVE SW,,CALGARY,403-454-4412,,,,,NO,51.0507308,-114.0688522
AB00002673,SAFEWAY PHARMACY #8823,1818 CENTRE ST NE,,CALGARY,403-276-3313,COVID-19,,,,YES,51.06842114,-114.0608089
AB00001177,CALGARY CO-OP PHARMACY #15,700-2220 68 ST NE,,CALGARY,403-299-2612,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.0684625,-113.9336307
AB00004145,SANDSTONE PHARMACIES SIMONS VALLEY,6213 CENTRE ST NW,,CALGARY,403-274-2444,COVID-19,RSV,,,NO,51.10788492,-114.0633693
AB00004268,SHOPPERS DRUG MART 2355,28 CROWFOOT TERRACE NW,,CALGARY,403-241-8818,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.1275117,-114.1982707
AB00003782,MEDICINE SHOPPE PHARMACY 178,105-4411 16 AVE NW,,CALGARY,403-247-9502,COVID-19,,,,NO,51.06805148,-114.1588588
AB00003628,HEALTH+ PHARMACY,2642 PARKDALE BLVD NW,,CALGARY,403-455-5514,,,,,NO,51.05344486,-114.122716
AB00002649,PHARMACY PLUS,5066 68 ST NE,,CALGARY,403-568-0005,COVID-19,RSV,,,YES,51.09870489,-113.9341021
AB00004119,EXALAN PHARMACY,7-2111 CENTRE ST NW,,CALGARY,403-276-7076,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.07131481,-114.0629897
AB00000012,CAMBRIAN PHARMACY,9-728 NORTHMOUNT DR NW,,CALGARY,403-289-9181,COVID-19,,,,NO,51.08230306,-114.09281
AB00100193,PHARMASAVE OMEGA,1111-4715 88 AVE NE,,CALGARY,825-415-5090,,,,,NO,51.13222922,-113.9644071
AB00001144,VIET HOA PHARMACY LTD,102-1817 48 ST SE,,CALGARY,403-272-0603,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.0372578,-113.9646378
AB00003973,RICHMOND SQUARE PHARMACY,142-3715 51 ST SW,,CALGARY,403-249-4346,COVID-19,RSV,,,NO,51.02147236,-114.161749
AB00004297,UNIVERSAL HEALTH PHARMACY #10,113-8555 SCURFIELD DR NW,,CALGARY,403-547-4323,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.12053503,-114.2116492
AB00003010,SHOPPERS DRUG MART #361,7740 18 ST SE,,CALGARY,403-236-0851,,RSV,,,NO,50.98424083,-114.0150743
AB00001593,LOBLAW PHARMACY #1546,4700 130 AVE SE,,CALGARY,403-257-6530,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.93356613,-113.9668006
AB00003703,PHARMASAVE ON NORTHMOUNT,4501 BRISEBOIS DR NW,,CALGARY,403-282-1208,COVID-19,,,,NO,51.09340467,-114.127905
AB00001038,MEDICINE SHOPPE PHARMACY 111,114-8180 MACLEOD TR SE,,CALGARY,403-253-7383,COVID-19,,,,NO,50.98199571,-114.0703651
AB00000071,CALGARY CO-OP PHARMACY #6,4940 RICHMOND RD SW,,CALGARY,403-299-4487,COVID-19,RSV,,,NO,51.01911946,-114.1589891
AB00001346,WAL-MART PHARMACY #3151,100-310 SHAWVILLE BLVD SE,,CALGARY,403-201-5426,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.90101993,-114.0606656
AB00002753,SHOPPERS DRUG MART #2384,2555 WOODVIEW DR SW,,CALGARY,403-281-1616,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,50.94109861,-114.1214168
AB00002899,SAVE-ON-FOODS PHARMACY #6634,8855 MACLEOD TR SW,,CALGARY,403-640-7617,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.97449255,-114.0719797
AB00001873,COSTCO PHARMACY #543,11588 SARCEE TRAIL NW,,CALGARY,403-516-3728,COVID-19,RSV,,,NO,51.15535475,-114.1559511
AB00002683,SAFEWAY PHARMACY #8842,1600 90 AVE SW,,CALGARY,403-255-3988,COVID-19,RSV,,,YES,50.97354107,-114.0968174
AB00004003,ROYAL CARE DOUGLASDALE PHARMACY,6-20 DOUGLAS WOODS DR SE,,CALGARY,587-349-3443,COVID-19,,TDAP,PNEUMOCOCCAL,NO,50.94356558,-114.0019933
AB00001750,LONDON DRUGS #68,500-8888 COUNTRY HILLS BLVD NW,,CALGARY,403-275-4298,COVID-19,RSV,,,NO,51.15305663,-114.2148912
AB00003990,REVIVE PHARMACY,1905 20 AVE NW,,CALGARY,403-764-8020,,,,,NO,51.07041643,-114.1046444
AB00002048,MEDICINE SHOPPE PHARMACY 260,11-600 CROWFOOT CRES NW,,CALGARY,403-455-9939,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,51.12979307,-114.2039427
AB00003305,SHOPPERS DRUG MART #2371,610-7 MAHOGANY PLAZA SE,,CALGARY,403-278-3606,COVID-19,,TDAP,PNEUMOCOCCAL,NO,50.89811031,-113.9405845
AB00002662,SAVE-ON-FOODS PHARMACY #6604,225 PANTELLA HILL NW,,CALGARY,403-384-9792,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.16747098,-114.0890728
AB00002268,CALGARY CO-OP PHARMACY #23,410-163 QUARRY PARK BLVD SE,,CALGARY,403-203-4838,COVID-19,RSV,,,NO,50.96260407,-114.0079763
AB00000001,MEDICINE SHOPPE PHARMACY 199,4-7930 BOWNESS RD NW,,CALGARY,403-288-4041,COVID-19,RSV,,,NO,51.08913208,-114.2011653
AB00002555,SHOPPERS DRUG MART #2356,830-19369 SHERIFF KING ST SW,,CALGARY,403-873-9135,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.87882944,-114.0717085
AB00000786,CALGARY CO-OP PHARMACY #14,100-250 SHAWVILLE BLVD SE,,CALGARY,403-299-4439,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,50.90319486,-114.0637289
AB00003954,MAYFAIR PHARMACY,128-6707 ELBOW DR SW,,CALGARY,403-259-6893,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.99368257,-114.0840543
AB00100026,HEATHERS PHARMACY,104-305 10 ST NW,,CALGARY,825-540-1500,COVID-19,,TDAP,PNEUMOCOCCAL,YES,51.05451586,-114.0862431
AB00003817,MEDICINE SHOPPE PHARMACY 171,100-2675 36 ST NE,,CALGARY,403-291-0076,COVID-19,,,,NO,51.07748805,-113.9825869
AB00004198,BRIDGEDALE PHARMACY,1010 1 AVE  NE,,CALGARY,403-269-6440,COVID-19,RSV,TDAP,,NO,51.05342892,-114.0401932
AB00000390,DRUG SHOPPE,2079 146 AVE SE,,CALGARY,403-278-1565,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.9198697,-114.0148617
AB00002671,SAFEWAY PHARMACY #8816,32 AVE & SHAGANNAPI TR NW,,CALGARY,403-288-8804,COVID-19,RSV,,,NO,51.08472862,-114.1568891
AB00003867,CORE PHARMACY & TRAVEL CLINIC,201-722 85 ST SW,,CALGARY,403-454-2333,COVID-19,,,,NO,51.06684738,-114.2103062
AB00002944,SHOPPERS DRUG MART #2413,100-2250 162 AVE SW,,CALGARY,403-201-8202,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,50.90812285,-114.1096492
AB00003610,EXCELHEALTH PHARMACY,100-3916 MACLEOD TR SW,,CALGARY,587-351-4036,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.01890956,-114.0621789
AB00000009,CALGARY CO-OP PHARMACY #8,2580 SOUTHLAND DR SW,,CALGARY,403-299-5400,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,50.96274096,-114.1209816
AB00003090,RENFREW PHARMACY,832 EDMONTON TR NE,,CALGARY,403-452-1005,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.05967527,-114.0537917
AB00001915,CALGARY CO-OP PHARMACY #22,CREEKSIDE MARKET,12000 SYMONS VALLEY RD NW,CALGARY,403-299-4474,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.16169266,-114.1231457
AB00003217,REXALL #7284,116-817 19 ST NE,,CALGARY,403-277-2227,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.05857866,-114.0145583
AB00003926,PHARMASAVE SIGNATURE DRUG MART #3017,509-1851 SIROCCO DR SW,,CALGARY,403-455-1119,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.0367092,-114.1670057
AB00002682,SAFEWAY PHARMACY #8841,11011 BONAVENTURE DR SE,,CALGARY,403-278-8585,COVID-19,RSV,TDAP,PNEUMOCOCCAL,YES,50.95286315,-114.061155
AB00004298,FRESHCO PHARMACY #4311,7048-2060 SYMONS VALLEY,PKWY NW,CALGARY,403-266-1450,,,TDAP,PNEUMOCOCCAL,NO,51.17595078,-114.10752
AB00003806,RUNDLE PHARMACY,11-3735 RUNDLEHORN DR NE,,CALGARY,403-798-9280,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.07151283,-113.97887
AB00001989,VALLEY RIDGE PHARMACY,300-11245 VALLEY RIDGE DR NW,,CALGARY,403-532-4500,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.09171231,-114.2480368
AB00004293,AXIS PHARMACY CLINIC,3503 20 ST SW,,CALGARY,403-300-2997,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.02306834,-114.1094609
AB00100098,CROWFOOT PHARMACY,301-150 CROWFOOT CRES NW,,CALGARY,403-453-8139,,,,,NO,51.12750317,-114.1952367
AB00004308,REXALL #7522,315 8 AVE SW,,CALGARY,403-663-0059,COVID-19,,,,NO,51.04555225,-114.0692907
AB00002163,SHOPPERS DRUG MART #2361,2412 4 ST SW,,CALGARY,403-228-2129,,RSV,,,NO,51.03137118,-114.070369
AB00002732,SAFEWAY PHARMACY #8913,1846-1632 14 AVE NW,,CALGARY,403-210-0224,COVID-19,RSV,,,NO,51.06576064,-114.1025706
AB00004401,UNITED PHARMACY,2790 32 AVE NE,,CALGARY,403-453-2443,COVID-19,RSV,TDAP,PNEUMOCOCCAL,NO,51.08199601,-113.9952041
